epoch,accuracy,loss,val_accuracy,val_loss
0,0.3897038400173187,1.3164530992507935,0.46109509468078613,1.260059118270874
1,0.6703570485115051,0.9532689452171326,0.6743515729904175,0.8905604481697083
2,0.7968447208404541,0.5677589774131775,0.7002881765365601,0.8200923800468445
3,0.8419595956802368,0.4195203483104706,0.6916426420211792,0.7980270385742188
4,0.8779407739639282,0.33094191551208496,0.7002881765365601,0.8147619962692261
5,0.9009133577346802,0.27855318784713745,0.6772334575653076,0.8563865423202515
6,0.9277608394622803,0.22916488349437714,0.6685879230499268,0.9610018134117126
7,0.9427068829536438,0.18783879280090332,0.6714697480201721,0.9828078150749207
8,0.949349582195282,0.163975328207016,0.6743515729904175,1.0545527935028076
9,0.9579296708106995,0.14125166833400726,0.6685879230499268,1.1084073781967163
10,0.9642956256866455,0.12915176153182983,0.6829971075057983,1.126071572303772
11,0.9673401713371277,0.11366679519414902,0.6829971075057983,1.194665551185608
12,0.9673401713371277,0.10756882280111313,0.680115282535553,1.2417547702789307
13,0.9681705236434937,0.09691889584064484,0.6772334575653076,1.237670660018921
14,0.9725989699363708,0.09208487719297409,0.6887608170509338,1.3050295114517212
15,0.9745364189147949,0.08581220358610153,0.6772334575653076,1.2997976541519165
16,0.976473867893219,0.07844898849725723,0.6599423885345459,1.4081462621688843
17,0.9759202599525452,0.07811016589403152,0.6714697480201721,1.3729934692382812
18,0.9745364189147949,0.08232004940509796,0.6714697480201721,1.3814136981964111
19,0.975089967250824,0.0759010761976242,0.680115282535553,1.4184919595718384
20,0.9773041605949402,0.0737457424402237,0.651296854019165,1.4722214937210083
21,0.9773041605949402,0.06370337307453156,0.680115282535553,1.4422240257263184
22,0.9784113168716431,0.06393104791641235,0.6743515729904175,1.459751009941101
23,0.9773041605949402,0.059868860989809036,0.6743515729904175,1.4681018590927124
24,0.9784113168716431,0.06080081686377525,0.6887608170509338,1.4861079454421997
